,city_name,n_edges,n_vertices,is_chinese_city_or_not,n_g1,n_g2,n_g3,n_g4,n_g5,n_g6,n_g7,n_g8,n_g9,n_g10,n_g11,n_g12,n_g13,n_g14,n_g15,n_g16,n_g17,n_g18,n_g19,n_g20,n_g21,n_g22,n_g23,n_g24,n_g25,n_g26,n_g27,n_g28,n_g29
14,14.0,55932.0,40954.0,0.0,0.11290961474947618,0.002731384478472294,0.042649740295461036,0.19965231132260816,0.010018616318004518,0.005413918379180309,0.00018690655840245866,0.0,0.004598326124333216,0.20789425336670747,0.3505666136036115,0.0019837582448624593,0.011502187125324033,0.017658421892705015,0.027456148641688445,0.0025412920128243385,0.0002325712289212412,0.0004630185196788181,0.0001879685274842908,4.247876327328606e-06,0.0013285233213720215,0.0,0.0,1.6991505309314425e-05,1.0619690818321516e-06,0.0,2.123938163664303e-06,0.0,0.0
15,15.0,15093.0,10821.0,0.0,0.10554855691071215,0.0022626345088710754,0.043482697707806967,0.19445636950968043,0.008871075578326565,0.0051164394648499905,0.00020409455912056358,0.0,0.005619638119233449,0.21904976388370834,0.35313637035420964,0.0023189364562146795,0.010933134399786052,0.01632404585793611,0.02768648260621714,0.0026180405514775744,0.0002779908650090435,0.000555981730018087,0.00018298132886671218,0.0,0.0013160580191567376,0.0,0.0,3.518871708975234e-05,3.518871708975234e-06,0.0,0.0,0.0,0.0
16,16.0,3313.0,2465.0,0.0,0.12099028618546749,0.0031776039257486476,0.04104740261046196,0.20909840516461195,0.010317157050057318,0.003941837781308449,0.00036200551052832696,0.0,0.003056935422239205,0.20220018904732218,0.3530559298513766,0.001427910624861734,0.010699273977837218,0.018261166864428937,0.017014258994831367,0.003056935422239205,0.00036200551052832696,0.0007642338555598013,0.00012066850350944231,0.0,0.001005570862578686,0.0,0.0,2.0111417251573717e-05,0.0,0.0,2.0111417251573717e-05,0.0,0.0
17,17.0,5824.0,4227.0,0.0,0.1175101423739137,0.0029692955264789375,0.04148312504758486,0.20546872450810846,0.009952034456879956,0.0049814554986349945,0.00029366659053088395,1.0876540390032739e-05,0.0036327644902709347,0.20236891049694913,0.3538791181301052,0.0016967403008451073,0.01024570104741084,0.017467723866392577,0.022829858278678717,0.00274088817828825,0.0003589258328710804,0.0006417158830119315,0.00011964194429036013,0.0,0.001283431766023863,4.3506161560130955e-05,0.0,1.0876540390032739e-05,1.0876540390032739e-05,0.0,0.0,0.0,0.0
18,18.0,11575.0,8038.0,0.0,0.10825067259610063,0.0027962671518021727,0.04059640864965805,0.19876117183326356,0.010246562420287134,0.005039056295932659,0.0001973269418655578,0.0,0.004355631277764141,0.20695745919904512,0.35904359000274333,0.002112842133633655,0.011969563522430298,0.019126274804237235,0.025527368284266303,0.0030802254339989507,0.00025026831651241474,0.0004283438494154791,0.00010106989705309057,0.0,0.001135833128787113,0.0,0.0,1.9251408962493443e-05,0.0,0.0,4.812852240623361e-06,0.0,0.0
19,19.0,10339.0,7507.0,0.0,0.11059514783927217,0.0024584132364090443,0.04260134683137849,0.1992875618784284,0.009069928198724524,0.004939125005574634,0.0001839628952414931,1.114926637827231e-05,0.004861080140926727,0.21365339160683228,0.3536937519511216,0.002151808411006556,0.010530482094278197,0.016316951344601524,0.024957632787762564,0.002703697096731035,0.00021741069437631003,0.0004236721223743478,0.00011149266378272309,0.0,0.0011483744369620479,5.5746331891361546e-05,0.0,2.229853275654462e-05,0.0,0.0,5.574633189136155e-06,0.0,0.0
20,20.0,1886.0,1525.0,0.0,0.13268071679948223,0.0019416690263338863,0.04530561061445734,0.2166983536264714,0.005825007079001659,0.003802435176570527,8.090287609724525e-05,0.0,0.002629343473160471,0.21241050119331742,0.3448080579264593,0.000647223008777962,0.00538004126046681,0.009506087941426317,0.015047934954087619,0.002386634844868735,0.0,8.090287609724525e-05,4.0451438048622626e-05,0.0,0.0006876744468265847,0.0,0.0,4.0451438048622626e-05,0.0,0.0,0.0,0.0,0.0
21,21.0,15675.0,10852.0,0.0,0.10410286800173477,0.0024631112670787303,0.04177357253763363,0.19367867654118262,0.009825960000926977,0.005528757817233171,0.0002350549730679971,0.0,0.00537977931317599,0.211721628699219,0.35730342286389655,0.002910046779250274,0.012249343666923793,0.018281317764527887,0.029001148789797954,0.002823970310239458,0.00041713981136010754,0.0006422628841576259,0.00018870610513909626,0.0,0.0014268830055254472,0.0,0.0,4.303823450540792e-05,3.3106334234929168e-06,0.0,0.0,0.0,0.0
22,22.0,6750.0,4932.0,0.0,0.11402332335621852,0.002575694327255287,0.04246342958140526,0.20222753150784697,0.009174800827774866,0.004982636267552468,0.00018651579611158974,8.881704576742368e-06,0.0045474327432920925,0.2092973683509339,0.352639198514979,0.001953975006883321,0.01042712117309554,0.01653773392189429,0.024291462017390377,0.0027355650096366492,0.00020427920526507447,0.00040855841053014894,9.769875034416606e-05,2.6645113730227106e-05,0.0011635032995532502,8.881704576742368e-06,0.0,8.881704576742368e-06,0.0,8.881704576742368e-06,0.0,0.0,0.0
23,23.0,2375.0,1802.0,0.0,0.12677696078431372,0.0036151960784313727,0.041268382352941176,0.21099877450980392,0.011611519607843138,0.004136029411764706,0.00027573529411764705,0.0,0.0027573529411764708,0.19433210784313726,0.34846813725490194,0.0016237745098039217,0.012316176470588235,0.02077205882352941,0.01712622549019608,0.0021752450980392158,0.0002144607843137255,0.0005514705882352941,0.00012254901960784314,0.0,0.0007965686274509804,0.0,0.0,3.0637254901960784e-05,3.0637254901960784e-05,0.0,0.0,0.0,0.0
